0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.2939048729722167e-05,1.280837487158037e-06,1.2004280726271334e-06,,,,
,,0.0010549838090049626,0.00010364649334300358,4.311344354882321e-05,2.2436900056145774e-05,8.884085759413651e-06,5.55074279368702e-07,,
,,,2.073318848840294e-05,1.4123777612245039e-05,6.705667979601253e-06,2.3291105308329414e-06,1.9350379543198107e-07,,
,,,5.183297122100735e-06,2.118566641836756e-06,7.707664344369256e-07,3.8818508847215687e-07,1.9350379543198107e-07,,
,,,1.036659424420147e-05,4.7079258707483463e-07,8.478430778806182e-07,1.2939502949071896e-07,,,
,,,,2.3539629353741731e-07,1.5415328688738512e-07,,,,
,,,,,,6.469751474535948e-08,6.450126514399369e-08,,
,,,,,,,,,
,,,,,,,,,
